_docId,sigla,tipo,targa,radio,statoMezzo,operativo,noteOperativo,stazionamentoPredefinito,stazione_indirizzo,stazione_luogo_fisico,dettaglio_stazionamento,posizioneReale_lat,posizioneReale_lng,creatoIl,stazionamento,manifestationId,idUnivoco,stazionamentoId,equipaggio,coordinate_stazionamento,posizioneReale
CRI_LC_OPEM,CRI_LC_OPEM,LOGISTICA,,,Disponibile,true,,false,"Piazza degli Affari, 23900 Lecco LC",,,,,"31/05/2026, 17:06:56","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Piazza degli Affari, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240016126_iu7bp,49d5d2d7-899f-41e7-913f-160507e03925,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
CRI_LC_PPI,CRI_LC_PPI,PPI,,,Disponibile,true,,false,"Piazza degli Affari, 23900 Lecco LC",,,,,"31/05/2026, 17:06:54","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Piazza degli Affari, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240014169_h38ku,49d5d2d7-899f-41e7-913f-160507e03925,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
CRI_LC_STOPPANI,CRI_LC_STOPPANI,SAP,,,Disponibile,true,,false,,,,,,"31/05/2026, 17:06:55","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""""}",Lr4XjZMr4UWWJWD2m0iW,1780240015578_k0mo4,a40dff8c-2fed-4942-9ec1-ca286e73c2f4,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
CRI_LC_VETTA,CRI_LC_VETTA,SAP,,,Disponibile,true,,false,,,,,,"31/05/2026, 17:06:55","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""""}",Lr4XjZMr4UWWJWD2m0iW,1780240015415_32k6q,4f737bb6-897f-4736-8475-8ec97b2567e0,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
ELI_BG,ELI_BG,ELISOCCORSO,,,Disponibile,true,,false,"Piazza OMS, 1, 24127 Bergamo BG",,,,,"31/05/2026, 17:06:57","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Piazza OMS, 1, 24127 Bergamo BG""}",Lr4XjZMr4UWWJWD2m0iW,1780240017074_bi8ud,c8c355e2-ab72-41c6-ac69-6dc04eb39060,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
ELI_BS,ELI_BS,ELISOCCORSO,,,Disponibile,true,,false,"Strada Provinciale 37, 36, 25018 Montichiari BS",,,,,"31/05/2026, 17:06:58","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Strada Provinciale 37, 36, 25018 Montichiari BS""}",Lr4XjZMr4UWWJWD2m0iW,1780240017817_dmcjx,bc37a492-9b83-4a6f-b107-00ec8efa197e,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
ELI_CO,ELI_CO,ELISOCCORSO,,,Disponibile,true,,false,"Via Firenze, 118, 22079 Villa Guardia CO",,,,,"31/05/2026, 17:06:57","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Via Firenze, 118, 22079 Villa Guardia CO""}",Lr4XjZMr4UWWJWD2m0iW,1780240016929_4ivp7,aac12528-e3aa-4f26-8f30-bebb52c19f2a,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
ELI_MI,ELI_MI,ELISOCCORSO,,,Disponibile,true,,false,"Via Gian Carlo Clerici, 20091 Bresso MI",,,,,"31/05/2026, 17:06:57","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Via Gian Carlo Clerici, 20091 Bresso MI""}",Lr4XjZMr4UWWJWD2m0iW,1780240017461_reray,780f6e0f-f1ae-4cc9-874d-d1eb96d735f5,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
ELI_SO,ELI_SO,ELISOCCORSO,,,Disponibile,true,,false,"SP16, 23010 Caiolo SO",,,,,"31/05/2026, 17:06:57","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""SP16, 23010 Caiolo SO""}",Lr4XjZMr4UWWJWD2m0iW,1780240017222_frnhc,bb7ed733-66d8-46f5-9085-00ebf78be33c,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
MEDICO_ERNA,MEDICO_ERNA,MEDICO,,,Disponibile,true,,false,,,,,,"31/05/2026, 17:06:56","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""""}",Lr4XjZMr4UWWJWD2m0iW,1780240016763_5fmcp,1876e1b5-397f-4927-b994-e44bc5dfa5f8,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
